native,skill,cm,U,E,LF,u,MA_LF,MA_u
"1. Native","0. Low",2013m10,5241266,5.49e+07,6.01e+07,.0871875,,
"1. Native","0. Low",2013m11,5063787,5.53e+07,6.04e+07,.083894,,
"1. Native","1. High",1996m1,508675,2.07e+07,2.12e+07,.0240362,,
"1. Native","1. High",1996m2,445798,2.07e+07,2.12e+07,.0210583,,
"1. Native","1. High",1996m3,466233,2.12e+07,2.17e+07,.0215324,,
"1. Native","1. High",1996m4,409397,2.08e+07,2.12e+07,.0192921,,
"1. Native","1. High",1996m5,508546,2.10e+07,2.15e+07,.0236445,,
"1. Native","1. High",1996m6,555445,2.09e+07,2.14e+07,.0259121,,
"1. Native","1. High",1996m7,504212,2.11e+07,2.16e+07,.0233288,2.16e+07,.0216073
"1. Native","1. High",1996m8,503185,2.08e+07,2.13e+07,.0236605,2.16e+07,.0213859
"1. Native","1. High",1996m9,462632,2.12e+07,2.17e+07,.0213672,2.17e+07,.0211543
"1. Native","1. High",1996m10,397904,2.14e+07,2.18e+07,.0182136,2.17e+07,.0208822
"1. Native","1. High",1996m11,458806,2.22e+07,2.27e+07,.0202339,2.18e+07,.0205263
"1. Native","1. High",1996m12,409891,2.15e+07,2.19e+07,.018686,2.18e+07,.0200809
"1. Native","1. High",1997m1,448387,2.12e+07,2.17e+07,.0206803,2.18e+07,.019735
"1. Native","1. High",1997m2,409523,2.10e+07,2.14e+07,.019101,2.18e+07,.0196678
"1. Native","1. High",1997m3,394781,2.16e+07,2.20e+07,.0179303,2.19e+07,.0196753
"1. Native","1. High",1997m4,358717,2.16e+07,2.19e+07,.0163651,2.20e+07,.0195045
"1. Native","1. High",1997m5,392766,2.14e+07,2.18e+07,.0180296,2.20e+07,.0191983
"1. Native","1. High",1997m6,445349,2.09e+07,2.14e+07,.0208365,2.20e+07,.0188912
"1. Native","1. High",1997m7,440001,2.14e+07,2.19e+07,.0201038,2.21e+07,.0187107
"1. Native","1. High",1997m8,561623,2.17e+07,2.22e+07,.0252713,2.21e+07,.0185751
"1. Native","1. High",1997m9,449947,2.21e+07,2.26e+07,.0199377,2.22e+07,.0184986
"1. Native","1. High",1997m10,345261,2.19e+07,2.22e+07,.015544,2.22e+07,.0184214
"1. Native","1. High",1997m11,353064,2.23e+07,2.27e+07,.0155552,2.23e+07,.0182129
"1. Native","1. High",1997m12,359471,2.21e+07,2.25e+07,.0159941,2.23e+07,.0180357
"1. Native","1. High",1998m1,430970,2.22e+07,2.26e+07,.0190401,2.24e+07,.0179489
"1. Native","1. High",1998m2,384900,2.16e+07,2.20e+07,.0174865,2.25e+07,.0177701
"1. Native","1. High",1998m3,398140,2.21e+07,2.25e+07,.0177077,2.26e+07,.0174844
"1. Native","1. High",1998m4,330889,2.21e+07,2.25e+07,.0147355,2.26e+07,.0173063
"1. Native","1. High",1998m5,329982,2.22e+07,2.25e+07,.0146549,2.27e+07,.0173362
"1. Native","1. High",1998m6,444095,2.18e+07,2.23e+07,.0199581,2.27e+07,.0172917
"1. Native","1. High",1998m7,431082,2.24e+07,2.28e+07,.0188996,2.27e+07,.017147
"1. Native","1. High",1998m8,510845,2.25e+07,2.30e+07,.0221844,2.28e+07,.0171288
"1. Native","1. High",1998m9,380255,2.31e+07,2.35e+07,.0161677,2.29e+07,.0170877
"1. Native","1. High",1998m10,343808,2.25e+07,2.29e+07,.0150401,2.29e+07,.0171599
"1. Native","1. High",1998m11,386148,2.26e+07,2.30e+07,.0167767,2.30e+07,.0174675
"1. Native","1. High",1998m12,312159,2.25e+07,2.28e+07,.0137048,2.30e+07,.017787
"1. Native","1. High",1999m1,414349,2.28e+07,2.32e+07,.0178549,2.31e+07,.0180579
"1. Native","1. High",1999m2,419597,2.26e+07,2.30e+07,.0182357,2.32e+07,.0180884
"1. Native","1. High",1999m3,370005,2.28e+07,2.32e+07,.0159716,2.32e+07,.0181472
"1. Native","1. High",1999m4,422713,2.28e+07,2.32e+07,.0182054,2.33e+07,.0183142
"1. Native","1. High",1999m5,432537,2.29e+07,2.33e+07,.0185678,2.33e+07,.0182676
"1. Native","1. High",1999m6,542677,2.23e+07,2.29e+07,.0237136,2.34e+07,.0182294
"1. Native","1. High",1999m7,515425,2.33e+07,2.38e+07,.0216443,2.34e+07,.0183022
"1. Native","1. High",1999m8,476977,2.32e+07,2.36e+07,.0201723,2.35e+07,.0182766
"1. Native","1. High",1999m9,467695,2.34e+07,2.39e+07,.0195911,2.35e+07,.0182275
"1. Native","1. High",1999m10,365223,2.30e+07,2.34e+07,.0156257,2.36e+07,.0180266
"1. Native","1. High",1999m11,354291,2.32e+07,2.35e+07,.0150722,2.36e+07,.0176741
"1. Native","1. High",1999m12,343277,2.33e+07,2.37e+07,.0144914,2.36e+07,.0172414
"1. Native","1. High",2000m1,451793,2.36e+07,2.40e+07,.0188156,2.36e+07,.0168673
"1. Native","1. High",2000m2,396266,2.34e+07,2.38e+07,.016662,2.36e+07,.0168162
"1. Native","1. High",2000m3,387086,2.33e+07,2.37e+07,.016365,2.36e+07,.0169063
"1. Native","1. High",2000m4,302936,2.30e+07,2.33e+07,.0129909,2.36e+07,.0169868
"1. Native","1. High",2000m5,358757,2.31e+07,2.34e+07,.0153219,2.37e+07,.01695
"1. Native","1. High",2000m6,388441,2.30e+07,2.34e+07,.0165745,2.37e+07,.0168725
"1. Native","1. High",2000m7,469541,2.32e+07,2.37e+07,.0198051,2.38e+07,.0168384
"1. Native","1. High",2000m8,485838,2.29e+07,2.34e+07,.0207864,2.38e+07,.0168564
"1. Native","1. High",2000m9,511254,2.37e+07,2.42e+07,.0211379,2.38e+07,.0170786
"1. Native","1. High",2000m10,381556,2.34e+07,2.38e+07,.0160122,2.37e+07,.0175734
"1. Native","1. High",2000m11,334488,2.39e+07,2.42e+07,.0138014,2.36e+07,.0180345
"1. Native","1. High",2000m12,334141,2.37e+07,2.40e+07,.0139021,2.36e+07,.0183523
"1. Native","1. High",2001m1,448645,2.37e+07,2.41e+07,.0185871,2.36e+07,.0186949
"1. Native","1. High",2001m2,415698,2.36e+07,2.40e+07,.017322,2.36e+07,.0191863
"1. Native","1. High",2001m3,502880,2.34e+07,2.39e+07,.0210374,2.37e+07,.0196672
"1. Native","1. High",2001m4,422253,2.05e+07,2.09e+07,.0201951,2.37e+07,.020142
"1. Native","1. High",2001m5,452954,2.32e+07,2.36e+07,.0191823,2.37e+07,.0209732
"1. Native","1. High",2001m6,482451,2.32e+07,2.37e+07,.0203431,2.37e+07,.0219475
"1. Native","1. High",2001m7,573918,2.31e+07,2.37e+07,.024258,2.38e+07,.0228727
"1. Native","1. High",2001m8,668840,2.31e+07,2.38e+07,.028128,2.38e+07,.023834
"1. Native","1. High",2001m9,619668,2.38e+07,2.45e+07,.025337,2.39e+07,.0244877
"1. Native","1. High",2001m10,565891,2.38e+07,2.44e+07,.0232073,2.41e+07,.0248564
"1. Native","1. High",2001m11,645132,2.36e+07,2.43e+07,.0265552,2.43e+07,.0253224
"1. Native","1. High",2001m12,591962,2.35e+07,2.41e+07,.0245318,2.44e+07,.0259791
"1. Native","1. High",2002m1,734456,2.36e+07,2.43e+07,.0301629,2.45e+07,.0267001
"1. Native","1. High",2002m2,713297,2.40e+07,2.48e+07,.028818,2.45e+07,.0272515
"1. Native","1. High",2002m3,634685,2.45e+07,2.52e+07,.0252306,2.46e+07,.0276281
"1. Native","1. High",2002m4,620915,2.44e+07,2.50e+07,.0248505,2.46e+07,.0278827
"1. Native","1. High",2002m5,639386,2.42e+07,2.49e+07,.0257097,2.47e+07,.0279291
"1. Native","1. High",2002m6,726122,2.38e+07,2.45e+07,.0295776,2.47e+07,.0279126
"1. Native","1. High",2002m7,788138,2.36e+07,2.44e+07,.0323284,2.48e+07,.0280049
"1. Native","1. High",2002m8,817506,2.37e+07,2.46e+07,.0332903,2.48e+07,.0279767
"1. Native","1. High",2002m9,731179,2.43e+07,2.50e+07,.029214,2.49e+07,.0279762
"1. Native","1. High",2002m10,628215,2.41e+07,2.47e+07,.0254386,2.49e+07,.0280563
"1. Native","1. High",2002m11,630668,2.42e+07,2.48e+07,.0254383,2.49e+07,.0281326
"1. Native","1. High",2002m12,618918,2.39e+07,2.45e+07,.0252539,2.50e+07,.0281598
"1. Native","1. High",2003m1,795818,2.43e+07,2.51e+07,.0316554,2.51e+07,.028142
"1. Native","1. High",2003m2,677714,2.48e+07,2.54e+07,.0266479,2.51e+07,.0282585
"1. Native","1. High",2003m3,701875,2.49e+07,2.56e+07,.0273894,2.52e+07,.0284656
"1. Native","1. High",2003m4,623207,2.47e+07,2.53e+07,.0246137,2.53e+07,.0286516
"1. Native","1. High",2003m5,704382,2.47e+07,2.54e+07,.027778,2.54e+07,.0287681
"1. Native","1. High",2003m6,713224,2.46e+07,2.53e+07,.0281629,2.55e+07,.0288595
"1. Native","1. High",2003m7,842775,2.45e+07,2.53e+07,.0333157,2.55e+07,.0289147
"1. Native","1. High",2003m8,894024,2.46e+07,2.55e+07,.0350968,2.56e+07,.0290467
"1. Native","1. High",2003m9,823405,2.46e+07,2.54e+07,.0323788,2.56e+07,.0291336
"1. Native","1. High",2003m10,695710,2.53e+07,2.60e+07,.0267381,2.57e+07,.0291515
"1. Native","1. High",2003m11,698817,2.52e+07,2.59e+07,.0269344,2.57e+07,.0290874
"1. Native","1. High",2003m12,674325,2.53e+07,2.60e+07,.0259507,2.57e+07,.0290907
"1. Native","1. High",2004m1,827821,2.48e+07,2.56e+07,.0322854,2.57e+07,.0289996
"1. Native","1. High",2004m2,752207,2.50e+07,2.58e+07,.0291843,2.57e+07,.028549
"1. Native","1. High",2004m3,705466,2.55e+07,2.62e+07,.026939,2.58e+07,.0280043
"1. Native","1. High",2004m4,656196,2.51e+07,2.57e+07,.0254934,2.58e+07,.0276078
"1. Native","1. High",2004m5,654550,2.52e+07,2.58e+07,.0253595,2.58e+07,.0273506
"1. Native","1. High",2004m6,771797,2.44e+07,2.52e+07,.0306616,2.59e+07,.0270381
"1. Native","1. High",2004m7,731309,2.48e+07,2.55e+07,.0286303,2.59e+07,.0264996
"1. Native","1. High",2004m8,740864,2.48e+07,2.56e+07,.0289687,2.59e+07,.0258959
"1. Native","1. High",2004m9,664456,2.55e+07,2.61e+07,.0254347,2.59e+07,.0255347
"1. Native","1. High",2004m10,639799,2.58e+07,2.65e+07,.0241662,2.59e+07,.0252594
"1. Native","1. High",2004m11,615656,2.58e+07,2.64e+07,.0233319,2.60e+07,.024917
"1. Native","1. High",2004m12,580690,2.57e+07,2.63e+07,.0220546,2.60e+07,.0244062
"1. Native","1. High",2005m1,596729,2.51e+07,2.57e+07,.023257,2.61e+07,.0240179
"1. Native","1. High",2005m2,612714,2.52e+07,2.58e+07,.0237229,2.61e+07,.0237323
"1. Native","1. High",2005m3,621723,2.56e+07,2.62e+07,.0237322,2.61e+07,.0234889
"1. Native","1. High",2005m4,584091,2.59e+07,2.64e+07,.022093,2.61e+07,.0233953
"1. Native","1. High",2005m5,536791,2.56e+07,2.61e+07,.0205424,2.62e+07,.0232399
"1. Native","1. High",2005m6,603662,2.54e+07,2.60e+07,.0232186,2.62e+07,.0230213
"1. Native","1. High",2005m7,694505,2.53e+07,2.60e+07,.0267546,2.62e+07,.0229355
"1. Native","1. High",2005m8,615506,2.50e+07,2.57e+07,.0239897,2.63e+07,.0228558
"1. Native","1. High",2005m9,649477,2.58e+07,2.64e+07,.0245716,2.63e+07,.0226141
"1. Native","1. High",2005m10,612727,2.63e+07,2.69e+07,.0227837,2.64e+07,.0224029
"1. Native","1. High",2005m11,561274,2.62e+07,2.67e+07,.0209856,2.64e+07,.0223011
"1. Native","1. High",2005m12,511285,2.62e+07,2.67e+07,.0191546,2.65e+07,.0223306
"1. Native","1. High",2006m1,634558,2.57e+07,2.63e+07,.0240961,2.65e+07,.0223042
"1. Native","1. High",2006m2,549413,2.56e+07,2.62e+07,.0209719,2.66e+07,.0222199
"1. Native","1. High",2006m3,550127,2.60e+07,2.66e+07,.0206819,2.67e+07,.0221476
"1. Native","1. High",2006m4,539865,2.64e+07,2.69e+07,.0200757,2.68e+07,.0220536
"1. Native","1. High",2006m5,537431,2.62e+07,2.67e+07,.0201166,2.69e+07,.0218742
"1. Native","1. High",2006m6,654580,2.62e+07,2.69e+07,.024352,2.69e+07,.021651
"1. Native","1. High",2006m7,666300,2.60e+07,2.67e+07,.0249877,2.70e+07,.0214142
"1. Native","1. High",2006m8,634609,2.61e+07,2.67e+07,.0237344,2.71e+07,.0211014
"1. Native","1. High",2006m9,632364,2.68e+07,2.74e+07,.0230908,2.72e+07,.0208244
"1. Native","1. High",2006m10,612488,2.72e+07,2.78e+07,.022009,2.73e+07,.0205508
"1. Native","1. High",2006m11,485590,2.73e+07,2.78e+07,.017454,2.74e+07,.0203754
"1. Native","1. High",2006m12,478196,2.71e+07,2.76e+07,.0173292,2.75e+07,.0203046
"1. Native","1. High",2007m1,554677,2.69e+07,2.74e+07,.0202388,2.76e+07,.0203376
"1. Native","1. High",2007m2,470950,2.67e+07,2.72e+07,.0173216,2.77e+07,.0205996
"1. Native","1. High",2007m3,493393,2.74e+07,2.79e+07,.017683,2.78e+07,.0207375
"1. Native","1. High",2007m4,463525,2.76e+07,2.81e+07,.0165093,2.79e+07,.0206335
"1. Native","1. High",2007m5,542672,2.73e+07,2.79e+07,.0194731,2.79e+07,.0207296
"1. Native","1. High",2007m6,650593,2.73e+07,2.79e+07,.0232972,2.80e+07,.020982
"1. Native","1. High",2007m7,753982,2.73e+07,2.81e+07,.0268344,2.80e+07,.0212092
"1. Native","1. High",2007m8,793328,2.74e+07,2.82e+07,.0281741,2.81e+07,.0214634
"1. Native","1. High",2007m9,616092,2.74e+07,2.81e+07,.021962,2.82e+07,.0216691
"1. Native","1. High",2007m10,586343,2.78e+07,2.84e+07,.0206412,2.83e+07,.0218406
"1. Native","1. High",2007m11,597707,2.77e+07,2.83e+07,.0211281,2.83e+07,.0220484
"1. Native","1. High",2007m12,562283,2.80e+07,2.85e+07,.0197127,2.83e+07,.0222494
"1. Native","1. High",2008m1,660160,2.77e+07,2.83e+07,.0233093,2.84e+07,.0224915
"1. Native","1. High",2008m2,583262,2.81e+07,2.87e+07,.0203504,2.84e+07,.0228078
"1. Native","1. High",2008m3,567493,2.84e+07,2.90e+07,.0195914,2.85e+07,.0232231
"1. Native","1. High",2008m4,533183,2.80e+07,2.85e+07,.0187175,2.85e+07,.0239066
"1. Native","1. High",2008m5,625183,2.75e+07,2.81e+07,.0222514,2.86e+07,.0246752
"1. Native","1. High",2008m6,713426,2.74e+07,2.82e+07,.0253436,2.86e+07,.0256349
"1. Native","1. High",2008m7,876864,2.78e+07,2.87e+07,.0305986,2.86e+07,.0269791
"1. Native","1. High",2008m8,920233,2.78e+07,2.88e+07,.0319999,2.87e+07,.0285226
"1. Native","1. High",2008m9,802693,2.78e+07,2.86e+07,.0281043,2.87e+07,.0301995
"1. Native","1. High",2008m10,898673,2.82e+07,2.91e+07,.0309033,2.87e+07,.0318544
"1. Native","1. High",2008m11,839457,2.78e+07,2.86e+07,.0293113,2.87e+07,.0336409
"1. Native","1. High",2008m12,1006174,2.81e+07,2.91e+07,.0345618,2.88e+07,.0356028
"1. Native","1. High",2009m1,1170347,2.76e+07,2.87e+07,.0407231,2.88e+07,.0374681
"1. Native","1. High",2009m2,1146130,2.75e+07,2.87e+07,.0399789,2.88e+07,.0391995
"1. Native","1. High",2009m3,1158237,2.76e+07,2.88e+07,.0402089,2.89e+07,.0407919
"1. Native","1. High",2009m4,1087564,2.77e+07,2.88e+07,.0378172,2.89e+07,.0421319
"1. Native","1. High",2009m5,1331005,2.76e+07,2.89e+07,.0460276,2.90e+07,.0433492
"1. Native","1. High",2009m6,1398954,2.74e+07,2.88e+07,.0486538,2.90e+07,.0443964
"1. Native","1. High",2009m7,1507556,2.75e+07,2.90e+07,.0520546,2.90e+07,.0451879
"1. Native","1. High",2009m8,1522784,2.77e+07,2.92e+07,.0520991,2.91e+07,.0458432
"1. Native","1. High",2009m9,1343687,2.77e+07,2.91e+07,.0462218,2.91e+07,.0463443
"1. Native","1. High",2009m10,1333165,2.83e+07,2.97e+07,.0449466,2.91e+07,.0468437
"1. Native","1. High",2009m11,1288382,2.77e+07,2.90e+07,.0444817,2.91e+07,.0471093
"1. Native","1. High",2009m12,1307067,2.80e+07,2.94e+07,.0445239,2.91e+07,.0470052
"1. Native","1. High",2010m1,1461178,2.79e+07,2.94e+07,.0497577,2.92e+07,.0469221
"1. Native","1. High",2010m2,1351934,2.76e+07,2.90e+07,.0466707,2.92e+07,.0468341
"1. Native","1. High",2010m3,1323787,2.77e+07,2.91e+07,.0455453,2.92e+07,.0467044
"1. Native","1. High",2010m4,1288397,2.77e+07,2.90e+07,.0444655,2.92e+07,.0467134
"1. Native","1. High",2010m5,1326762,2.77e+07,2.90e+07,.0457535,2.92e+07,.0468799
"1. Native","1. High",2010m6,1365079,2.80e+07,2.94e+07,.0464291,2.93e+07,.0469291
"1. Native","1. High",2010m7,1534854,2.78e+07,2.94e+07,.0522851,2.93e+07,.0466325
"1. Native","1. High",2010m8,1454649,2.78e+07,2.92e+07,.0497569,2.93e+07,.0462379
"1. Native","1. High",2010m9,1352602,2.84e+07,2.98e+07,.0454507,2.94e+07,.0458598
"1. Native","1. High",2010m10,1344721,2.79e+07,2.93e+07,.0459345,2.95e+07,.0454446
"1. Native","1. High",2010m11,1392640,2.79e+07,2.93e+07,.0474892,2.96e+07,.0450431
"1. Native","1. High",2010m12,1255739,2.82e+07,2.94e+07,.042697,2.96e+07,.0449422
"1. Native","1. High",2011m1,1319637,2.84e+07,2.97e+07,.0444659,2.96e+07,.0448556
"1. Native","1. High",2011m2,1267178,2.86e+07,2.98e+07,.0424933,2.96e+07,.0445307
"1. Native","1. High",2011m3,1224527,2.89e+07,3.01e+07,.040648,2.96e+07,.0440617
"1. Native","1. High",2011m4,1189447,2.90e+07,3.02e+07,.0393991,2.96e+07,.0434696
"1. Native","1. High",2011m5,1208083,2.81e+07,2.93e+07,.041183,2.96e+07,.0428664
"1. Native","1. High",2011m6,1412782,2.77e+07,2.91e+07,.0485769,2.97e+07,.0424228
"1. Native","1. High",2011m7,1418130,2.81e+07,2.95e+07,.0480595,2.97e+07,.042297
"1. Native","1. High",2011m8,1367614,2.82e+07,2.96e+07,.0461855,2.97e+07,.0423337
"1. Native","1. High",2011m9,1121447,2.86e+07,2.97e+07,.0377671,2.98e+07,.0423401
"1. Native","1. High",2011m10,1173393,2.86e+07,2.98e+07,.0394072,2.98e+07,.0422613
"1. Native","1. High",2011m11,1173341,2.85e+07,2.97e+07,.0395393,2.98e+07,.0419882
"1. Native","1. High",2011m12,1196918,2.87e+07,2.99e+07,.0400016,2.99e+07,.0414242
"1. Native","1. High",2012m1,1326772,2.87e+07,3.01e+07,.0441415,3.00e+07,.0411424
"1. Native","1. High",2012m2,1310532,2.87e+07,3.00e+07,.0436989,3.00e+07,.0410881
"1. Native","1. High",2012m3,1217584,2.95e+07,3.08e+07,.0395953,3.01e+07,.0410995
"1. Native","1. High",2012m4,1166766,2.91e+07,3.03e+07,.0385599,3.02e+07,.0410495
"1. Native","1. High",2012m5,1066471,2.90e+07,3.01e+07,.035469,3.02e+07,.0406954
"1. Native","1. High",2012m6,1213819,2.86e+07,2.98e+07,.0407557,3.03e+07,.0403094
"1. Native","1. High",2012m7,1479958,2.87e+07,3.01e+07,.0491159,3.03e+07,.039863
"1. Native","1. High",2012m8,1337310,2.92e+07,3.05e+07,.0438267,3.04e+07,.0394305
"1. Native","1. High",2012m9,1231732,2.93e+07,3.05e+07,.0403991,3.04e+07,.0391068
"1. Native","1. High",2012m10,1097983,2.98e+07,3.09e+07,.0355758,3.05e+07,.0389003
"1. Native","1. High",2012m11,1060756,2.94e+07,3.04e+07,.0348727,3.06e+07,.0388785
"1. Native","1. High",2012m12,1081746,2.95e+07,3.06e+07,.0354028,3.07e+07,.0389126
"1. Native","1. High",2013m1,1156877,2.93e+07,3.04e+07,.0380275,3.07e+07,.0387169
"1. Native","1. High",2013m2,1211483,2.95e+07,3.07e+07,.0394332,3.07e+07,.0383474
"1. Native","1. High",2013m3,1125116,3.00e+07,3.12e+07,.0360918,3.08e+07,.0379325
"1. Native","1. High",2013m4,1174635,3.05e+07,3.17e+07,.0371082,3.08e+07,.0376951
"1. Native","1. High",2013m5,1133316,3.00e+07,3.11e+07,.0363974,3.09e+07,.0375801
"1. Native","1. High",2013m6,1240174,2.93e+07,3.05e+07,.0406453,,
"1. Native","1. High",2013m7,1344429,2.88e+07,3.02e+07,.0445293,,
"1. Native","1. High",2013m8,1223285,2.97e+07,3.09e+07,.0395456,,
"1. Native","1. High",2013m9,1072224,2.98e+07,3.09e+07,.0347207,,
"1. Native","1. High",2013m10,1110177,3.01e+07,3.12e+07,.0355572,,
"1. Native","1. High",2013m11,1001754,3.02e+07,3.12e+07,.0321321,,
